,Name,Age,Nationality,Overall,Club,Value,Wage,Preferred Foot,International Reputation,Work Rate,Height,Weight
244,R. Montlaur,27,France,77,AFC Richmond,€10M,€43K,Left,1.0,Medium/ High,176cm,70.0
245,R. Gravenberch,20,Netherlands,79,FC Bayern München,€38.5M,€45K,Right,1.0,Medium/ Medium,190cm,79.0
246,D. Caligiuri,34,Italy,75,FC Augsburg,€2.6M,€26K,Right,2.0,Medium/ High,182cm,80.0
247,B. Saka,20,England,82,Arsenal,€60.5M,€76K,Left,2.0,High/ Medium,178cm,65.0
248,Gerson Armão,22,Brazil,78,Internacional,€15M,€24K,Left,1.0,High/ High,186cm,73.0
249,Alex Sandro,31,Brazil,80,Juventus,€15.5M,€95K,Left,3.0,High/ Medium,180cm,80.0
250,L. Stindl,33,Germany,79,Borussia Mönchengladbach,€11M,€34K,Right,3.0,Medium/ Medium,181cm,80.0
251,K. Phillips,26,England,81,Manchester City,€32M,€120K,Right,2.0,Medium/ High,178cm,72.0
252,S. Żurkowski,24,Poland,76,Fiorentina,€12M,€40K,Right,1.0,High/ High,185cm,77.0
253,C. Aránguiz,33,Chile,80,Bayer 04 Leverkusen,€10.5M,€53K,Right,3.0,Medium/ High,171cm,68.0
254,Melvin Parrela,22,Brazil,79,RB Bragantino,€18.5M,€17K,Right,1.0,Medium/ Medium,188cm,88.0
255,E. Mwepu,24,Zambia,76,Brighton & Hove Albion,€12M,€49K,Right,1.0,High/ High,184cm,76.0
256,Ronaldo Cabrais,30,Brazil,83,Palmeiras,€35M,€59K,Right,1.0,Medium/ Low,177cm,75.0
257,Andreas Pereira,26,Brazil,76,Fulham,€10M,€51K,Right,1.0,Medium/ Medium,177cm,70.0
258,K. Tierney,25,Scotland,81,Arsenal,€33M,€82K,Left,2.0,High/ High,178cm,70.0
259,T. Meunier,30,Belgium,78,Borussia Dortmund,€12M,€41K,Right,2.0,High/ Medium,191cm,90.0
260,R. Rodríguez,29,Switzerland,74,Torino F.C.,€3.5M,€33K,Left,2.0,Medium/ Medium,182cm,77.0
261,Álex Moreno,29,Spain,80,Real Betis Balompié,€18.5M,€29K,Left,1.0,High/ Medium,179cm,68.0
262,22 M. Camara,24,Guinea,75,Olympiacos CFP,€8.5M,€1K,Right,1.0,Medium/ Medium,182cm,75.0
263,22 F. Gorriarán,26,Uruguay,77,Santos Laguna,€12.5M,€22K,Right,1.0,High/ High,168cm,68.0
264,J. Clauss,29,France,80,Olympique de Marseille,€18.5M,€45K,Right,1.0,High/ High,178cm,69.0
265,Y. Rakitskyi,32,Ukraine,79,Adana Demirspor,€11.5M,€25K,Left,2.0,High/ Medium,185cm,83.0
266,F. Dimarco,24,Italy,78,Inter,€20M,€47K,Left,2.0,Medium/ Medium,175cm,75.0
267,S. McTominay,25,Scotland,80,Manchester United,€25M,€100K,Right,2.0,Medium/ High,193cm,88.0
268,J. Hofmann,29,Germany,81,Borussia Mönchengladbach,€25.5M,€40K,Right,2.0,High/ High,176cm,73.0
269,A. Guardado,35,Mexico,77,Real Betis Balompié,€3M,€16K,Left,3.0,Medium/ Medium,169cm,67.0
270,22 J. Kucka,34,Slovakia,75,Watford,€2.6M,€5K,Right,2.0,High/ Medium,186cm,84.0
271,21 M. Parolo,35,Italy,79,Lazio,€4.9M,€40K,Right,2.0,High/ High,184cm,75.0
272,Rafinha,29,Brazil,78,Paris Saint-Germain,€13.5M,€74K,Left,2.0,High/ Medium,174cm,71.0
273,N. Zaniolo,22,Italy,81,Roma,€53M,€71K,Left,2.0,High/ Medium,190cm,75.0
274,I. Gueye,32,Senegal,82,Paris Saint-Germain,€20.5M,€88K,Right,2.0,Medium/ High,174cm,66.0
275,M. Sanson,27,France,76,Aston Villa,€8.5M,€66K,Right,2.0,Medium/ Medium,180cm,73.0
276,D. Kulusevski,22,Sweden,81,Tottenham Hotspur,€41.5M,€105K,Left,2.0,High/ Medium,186cm,75.0
277,M. Lopez,24,France,78,U.S. Sassuolo Calcio,€19M,€30K,Right,1.0,Medium/ Medium,167cm,58.0
278,22 Dani Alves,38,Brazil,77,FC Barcelona,€2.3M,€71K,Right,4.0,High/ Medium,172cm,70.0
279,F. Bernardeschi,28,Italy,79,Toronto FC,€17.5M,€12K,Left,2.0,Medium/ Medium,185cm,77.0
280,E. Capoue,33,France,80,Villarreal CF,€13M,€39K,Right,2.0,Medium/ Medium,190cm,80.0
281,Gayà,27,Spain,82,Valencia CF,€32M,€44K,Left,3.0,High/ Medium,172cm,66.0
282,Lucas Moura,29,Brazil,80,Tottenham Hotspur,€20.5M,€105K,Right,3.0,Medium/ Medium,174cm,70.0
283,J. Maddison,25,England,82,Leicester City,€38M,€100K,Right,1.0,High/ Medium,175cm,73.0
284,C. Nielsen,28,Denmark,76,Club Brugge KV,€7.5M,€26K,Right,1.0,High/ High,182cm,76.0
285,F. Aursnes,26,Norway,78,Feyenoord,€15M,€12K,Right,2.0,Medium/ High,179cm,71.0
286,Morales,34,Spain,80,Villarreal CF,€10M,€39K,Right,2.0,High/ Medium,180cm,70.0
287,O. Kökçü,21,Turkey,79,Feyenoord,€35.5M,€11K,Right,2.0,Medium/ Medium,175cm,68.0
288,M. Depay,28,Netherlands,85,FC Barcelona,€55M,€230K,Right,4.0,High/ Low,176cm,78.0
289,E. Alioski,30,North Macedonia,74,Fenerbahçe SK,€3.6M,€45K,Left,1.0,High/ High,172cm,63.0
290,Pedro Gonçalves,24,Portugal,81,Sporting CP,€39M,€19K,Right,1.0,High/ Medium,173cm,77.0
291,R. Perraud,24,France,76,Southampton,€11M,€38K,Left,1.0,High/ Medium,173cm,68.0
292,O. Tufan,27,Turkey,74,Hull City,€4.8M,€17K,Right,1.0,Medium/ Medium,179cm,80.0
293,Muniain,29,Spain,84,Athletic Club de Bilbao,€41.5M,€49K,Right,2.0,High/ Medium,170cm,66.0
294,A. Tameze,28,France,77,Hellas Verona,€10.5M,€29K,Right,1.0,Medium/ High,180cm,78.0
295,W. Ndidi,25,Nigeria,84,Leicester City,€47.5M,€105K,Right,1.0,Medium/ High,183cm,74.0
296,B. André,31,France,79,LOSC Lille,€12.5M,€35K,Right,2.0,High/ High,180cm,74.0
297,R. Bazoer,25,Netherlands,77,AZ Alkmaar,€14M,€12K,Right,2.0,Medium/ Medium,184cm,74.0
298,S. Serdar,25,Germany,77,Hertha BSC,€14.5M,€30K,Right,2.0,High/ Medium,184cm,75.0
299,N. Keïta,27,Guinea,81,Liverpool,€29.5M,€115K,Right,2.0,Medium/ Medium,172cm,64.0
300,Andeson Trigo,34,Brazil,77,Fluminense,€3.9M,€23K,Left,1.0,High/ Medium,175cm,68.0
301,I. Sangaré,24,Côte d'Ivoire,81,PSV,€35.5M,€20K,Right,2.0,Medium/ High,191cm,77.0
302,E. Pérez,36,Argentina,78,River Plate,€2.8M,€13K,Right,2.0,High/ Medium,178cm,77.0
303,L. Sané,26,Germany,84,FC Bayern München,€49.5M,€90K,Left,3.0,Medium/ Medium,183cm,80.0
304,R. Faivre,23,France,78,Olympique Lyonnais,€22M,€52K,Left,2.0,High/ Medium,180cm,69.0
305,Fernando,30,Brazil,78,Antalyaspor,€12M,€27K,Right,1.0,Medium/ Medium,173cm,66.0
306,R. Krunić,28,Bosnia and Herzegovina,77,AC Milan,€10.5M,€58K,Right,1.0,High/ High,184cm,74.0
307,A. Golovin,26,Russia,79,AS Monaco,€20.5M,€55K,Right,3.0,High/ High,180cm,69.0
308,G. Hamer,25,Netherlands,74,Coventry City,€6M,€20K,Right,1.0,Medium/ Medium,169cm,61.0
309,A. Rebić,28,Croatia,80,AC Milan,€21M,€78K,Right,1.0,High/ Medium,185cm,78.0
310,M. Oršić,29,Croatia,77,Dinamo Zagreb,€10.5M,€1K,Right,2.0,High/ High,179cm,69.0
311,Campaña,29,Spain,78,Levante Unión Deportiva,€13.5M,€16K,Right,1.0,Medium/ Medium,179cm,70.0
312,22 A. González,26,Mexico,74,CF Monterrey ,€4.9M,€39K,Left,1.0,High/ Medium,170cm,79.0
313,Luis Milla,27,Spain,79,Getafe CF,€19M,€30K,Right,1.0,High/ High,175cm,67.0
314,E. Skhiri,27,Tunisia,79,1. FC Köln,€18M,€31K,Right,2.0,Medium/ High,185cm,74.0
315,T. Teuma,28,Malta,75,Royale Union Saint-Gilloise,€5.5M,€17K,Left,1.0,High/ Medium,176cm,73.0
316,Pedraza,26,Spain,78,Villarreal CF,€16M,€31K,Left,1.0,High/ Medium,184cm,73.0
317,P. Foden,22,England,85,Manchester City,€109.5M,€180K,Left,3.0,High/ High,171cm,69.0
318,Marquinhos,28,Brazil,88,Paris Saint-Germain,€92M,€170K,Right,3.0,Medium/ High,183cm,75.0
319,L. Shaw,26,England,80,Manchester United,€22.5M,€105K,Left,2.0,Medium/ Medium,181cm,75.0
320,22 V. Moses,30,Nigeria,78,Spartak Moskva,€13.5M,€56K,Right,2.0,Medium/ Medium,177cm,79.0
321,M. Dahoud,26,Germany,80,Borussia Dortmund,€26M,€52K,Right,2.0,High/ High,178cm,68.0
322,22 S. Aurier,28,Côte d'Ivoire,79,Villarreal CF,€16M,€35K,Right,2.0,High/ Medium,174cm,74.0
323,Allan,31,Brazil,80,Everton,€15M,€46K,Right,2.0,Medium/ High,175cm,74.0
324,A. Claude-Maurice,24,France,74,OGC Nice,€6.5M,€29K,Right,2.0,Medium/ Low,175cm,64.0
325,S. Lobotka,27,Slovakia,81,Napoli,€29.5M,€64K,Right,2.0,Medium/ High,170cm,64.0
326,Clinton Mata,29,Angola,79,Club Brugge KV,€15.5M,€30K,Right,1.0,High/ High,180cm,73.0
327,D. Cataldi,27,Italy,76,Lazio,€7.5M,€38K,Right,2.0,Medium/ High,180cm,70.0
328,H. Ziyech,29,Morocco,83,Chelsea,€35.5M,€155K,Left,3.0,High/ High,181cm,65.0
329,D. Suárez,34,Uruguay,77,Getafe CF,€3.9M,€26K,Right,1.0,High/ Medium,173cm,68.0
330,Gabriel Jesus,25,Brazil,83,Arsenal,€48.5M,€115K,Right,2.0,High/ High,175cm,73.0
331,A. Browne,27,Republic of Ireland,72,Preston North End,€2.7M,€24K,Right,1.0,High/ High,173cm,71.0
332,Hediselton,22,Brazil,78,RB Bragantino,€15M,€16K,Right,1.0,Medium/ Medium,176cm,75.0
333,E. Lamela,30,Argentina,79,Sevilla FC,€17M,€34K,Left,2.0,High/ High,181cm,79.0
334,21 A. Valencia,34,Ecuador,78,Gallos Blancos de Querétaro,€5M,€13K,Right,2.0,Medium/ Medium,180cm,88.0
335,T. Souček,27,Czech Republic,81,West Ham United,€28M,€75K,Right,1.0,High/ High,192cm,86.0
336,Coutinho,30,Brazil,82,Aston Villa,€29.5M,€100K,Right,4.0,High/ Medium,172cm,68.0
337,N. Dorsch,24,Germany,77,FC Augsburg,€14.5M,€23K,Right,1.0,Medium/ Medium,178cm,76.0
338,D. Rice,23,England,84,West Ham United,€52M,€83K,Right,1.0,Medium/ High,185cm,80.0
339,Ricardo Horta,27,Portugal,81,SC Braga,€30M,€23K,Right,1.0,High/ High,173cm,63.0
340,L. Faravelli,29,Argentina,75,Independiente del Valle,€5.5M,€1K,Right,1.0,Medium/ Medium,171cm,70.0
341,21 S. Sessègnon,36,Benin,74,Gençlerbirliği SK,€1.4M,€12K,Right,2.0,High/ High,172cm,72.0
342,C. Erkin,33,Turkey,72,Fatih Karagümrük S.K.,€1.2M,€16K,Left,2.0,High/ Low,181cm,72.0
343,Diogo Gonçalves,25,Portugal,74,SL Benfica,€5.5M,€13K,Right,1.0,Medium/ Medium,177cm,70.0
344,F. Chiesa,24,Italy,84,Juventus,€66.5M,€140K,Right,3.0,High/ Medium,175cm,70.0
345,R. Jiménez,31,Mexico,82,Wolverhampton Wanderers,€25.5M,€110K,Right,3.0,Medium/ High,188cm,81.0
346,H. Aouar,24,France,79,Olympique Lyonnais,€26.5M,€57K,Right,2.0,High/ Low,175cm,70.0
347,J. Tartt,24,England,84,AFC Richmond,€85.5M,€78K,Right,1.0,High/ Low,178cm,84.0
348,V. Coufal,29,Czech Republic,80,West Ham United,€18.5M,€73K,Right,1.0,High/ High,175cm,76.0
349,N. Tagliafico,29,Argentina,81,Olympique Lyonnais,€22.5M,€72K,Left,3.0,Medium/ High,172cm,65.0
350,M. Rashford,24,England,81,Manchester United,€37M,€120K,Right,3.0,Medium/ Low,186cm,70.0
351,D. Olaru,24,Romania,72,FCSB (Steaua),€3.5M,€11K,Right,1.0,High/ High,177cm,71.0
352,R. Tapia,26,Peru,79,RC Celta de Vigo,€19.5M,€26K,Right,1.0,Medium/ High,185cm,80.0
353,A. Young,36,England,74,Aston Villa,€1.4M,€43K,Right,2.0,High/ Medium,175cm,65.0
354,P. Max,28,Germany,77,PSV,€9.5M,€18K,Left,2.0,High/ Medium,177cm,77.0
355,22 R. Sánchez,25,Paraguay,75,Club América,€7.5M,€39K,Right,1.0,Medium/ Medium,170cm,70.0
356,M. Götze,30,Germany,81,Eintracht Frankfurt,€25M,€38K,Right,4.0,Medium/ Medium,176cm,72.0
357,E. Višća,32,Bosnia and Herzegovina,81,Trabzonspor,€20.5M,€48K,Right,2.0,High/ Medium,172cm,63.0
358,R. Kristensen,24,Denmark,77,Leeds United,€15M,€31K,Right,1.0,High/ High,187cm,70.0
359,K. Thuram,21,France,77,OGC Nice,€21.5M,€30K,Right,1.0,High/ High,192cm,81.0
360,D. Blind,32,Netherlands,80,Ajax,€13.5M,€20K,Left,3.0,Medium/ Medium,180cm,72.0
361,L. Blas,24,France,79,FC Nantes,€25M,€28K,Left,2.0,High/ Medium,180cm,70.0
362,A. Marušić,29,Montenegro,79,Lazio,€15.5M,€51K,Right,2.0,Low/ High,185cm,85.0
363,Pablo Fornals,26,Spain,79,West Ham United,€21.5M,€72K,Right,2.0,High/ High,178cm,67.0
364,A. Mooy,31,Australia,76,Celtic,€6M,€49K,Right,1.0,Medium/ Medium,175cm,68.0
365,Iago Aspas,34,Spain,85,RC Celta de Vigo,€26M,€50K,Left,2.0,High/ High,176cm,67.0
366,N. Gudelj,30,Serbia,79,Sevilla FC,€14.5M,€29K,Right,2.0,Low/ Medium,187cm,73.0
367,Pedrinho,29,Portugal,75,MKE Ankaragücü,€5.5M,€16K,Right,1.0,High/ High,170cm,65.0
368,L. Dendoncker,27,Belgium,76,Wolverhampton Wanderers,€8.5M,€66K,Right,2.0,High/ High,189cm,88.0
369,M. Ozdoev,29,Russia,76,Fatih Karagümrük S.K.,€6.5M,€24K,Right,1.0,Medium/ Medium,184cm,78.0
370,Welington Dano,22,Brazil,81,Clube Atlético Mineiro,€27.5M,€37K,Left,1.0,Medium/ Medium,178cm,69.0
371,A. Thomasson,28,France,77,RC Strasbourg Alsace,€10.5M,€28K,Right,2.0,High/ High,177cm,72.0
372,André Silva,26,Portugal,82,RB Leipzig,€38M,€73K,Right,3.0,Medium/ Medium,185cm,84.0
373,C. De Ketelaere,21,Belgium,78,AC Milan,€32M,€49K,Left,1.0,High/ High,192cm,79.0
374,V. Darida,31,Czech Republic,75,Hertha BSC,€4.6M,€28K,Right,2.0,High/ High,172cm,67.0
375,L. Majer,24,Croatia,80,Stade Rennais FC,€31.5M,€47K,Left,1.0,High/ Medium,179cm,75.0
376,Evander,24,Brazil,76,FC Midtjylland,€11.5M,€24K,Right,1.0,Medium/ Medium,179cm,76.0
377,S. Armstrong,30,Scotland,76,Southampton,€7M,€49K,Right,1.0,High/ High,183cm,75.0
378,22 S. Agüero,33,Argentina,87,FC Barcelona,€51M,€260K,Right,4.0,High/ Medium,173cm,70.0
379,22 F. Thauvin,28,France,79,Tigres U.A.N.L.,€17.5M,€56K,Left,1.0,High/ Medium,181cm,77.0
380,Y. M'Changama,31,Comoros,73,AJ Auxerre,€2.5M,€16K,Right,1.0,High/ High,175cm,69.0
381,R. Borré,26,Colombia,78,Eintracht Frankfurt,€17M,€33K,Right,1.0,High/ High,174cm,70.0
382,22 Fransérgio,30,Brazil,78,FC Girondins de Bordeaux,€13.5M,€29K,Right,1.0,High/ Medium,187cm,82.0
383,21 M. Nérez,32,Uruguay,80,,€0,€0,Left,1.0,Medium/ Medium,178cm,69.0
384,A. Silva,32,Uruguay,76,Club Olimpia,€6M,€1K,Right,1.0,High/ Medium,178cm,68.0
385,S. Berghuis,30,Netherlands,82,Ajax,€29.5M,€25K,Left,3.0,High/ Medium,182cm,75.0
386,Nuno Mendes,20,Portugal,80,Paris Saint-Germain,€44M,€54K,Left,1.0,High/ Medium,176cm,70.0
387,J. Draxler,28,Germany,79,Paris Saint-Germain,€17.5M,€88K,Right,3.0,Medium/ Medium,187cm,77.0
388,Unai López,26,Spain,75,Rayo Vallecano,€7.5M,€19K,Right,1.0,High/ Medium,170cm,69.0
389,D. Berardi,27,Italy,84,U.S. Sassuolo Calcio,€45M,€57K,Left,2.0,Medium/ Medium,183cm,72.0
390,D. Núñez,23,Uruguay,82,Liverpool,€61.5M,€120K,Right,1.0,High/ High,186cm,80.0
391,R. Mahrez,31,Algeria,86,Manchester City,€56.5M,€220K,Left,3.0,Medium/ Medium,179cm,67.0
392,Azpilicueta,32,Spain,82,Chelsea,€20M,€115K,Right,3.0,Medium/ Medium,178cm,77.0
393,T. Hazard,29,Belgium,80,Borussia Dortmund,€20.5M,€54K,Right,2.0,High/ High,175cm,71.0
394,D. Zappacosta,30,Italy,79,Atalanta,€15M,€48K,Right,2.0,High/ High,182cm,75.0
395,D. Dumfries,26,Netherlands,82,Inter,€34.5M,€73K,Right,3.0,High/ Medium,188cm,80.0
396,E. Palacios,23,Argentina,78,Bayer 04 Leverkusen,€19.5M,€39K,Right,2.0,High/ High,177cm,67.0
397,M. Wittek,26,Germany,75,Vitesse,€6.5M,€15K,Left,1.0,High/ Medium,173cm,70.0
398,João Pedro,30,Italy,79,Fenerbahçe SK,€17M,€77K,Right,1.0,High/ Medium,184cm,73.0
399,C. Immobile,32,Italy,86,Lazio,€55M,€100K,Right,4.0,High/ Medium,185cm,85.0
400,R. Christie,27,Scotland,74,AFC Bournemouth,€4.5M,€42K,Left,1.0,High/ High,178cm,71.0
401,R. Bensebaini,27,Algeria,78,Borussia Mönchengladbach,€15M,€28K,Left,2.0,High/ Medium,187cm,85.0
402,R. Freuler,30,Switzerland,80,Atalanta,€20M,€56K,Right,2.0,Medium/ Medium,181cm,80.0
403,Sergio Gómez,21,Spain,74,RSC Anderlecht,€9M,€13K,Left,1.0,High/ Medium,171cm,68.0
404,S. Gnabry,26,Germany,85,FC Bayern München,€59M,€100K,Right,4.0,High/ Medium,176cm,77.0
405,F. Ugrinic,23,Switzerland,74,BSC Young Boys,€9.5M,€18K,Right,1.0,High/ High,184cm,88.0
406,L. Rodríguez,37,Argentina,77,Club Atlético Colón,€3.6M,€13K,Right,1.0,High/ Low,167cm,67.0
407,Rubén Peña,30,Spain,78,CA Osasuna,€12M,€28K,Right,1.0,High/ Low,170cm,65.0
408,21 S. Khedira,33,Germany,81,Hertha BSC,€13M,€52K,Right,3.0,Medium/ Medium,189cm,90.0
409,X. Schlager,24,Austria,80,RB Leipzig,€27.5M,€46K,Left,2.0,High/ High,174cm,78.0
410,Mário Rui,31,Portugal,78,Napoli,€10M,€47K,Left,2.0,High/ Medium,170cm,67.0
411,C. Gakpo,23,Netherlands,83,PSV,€52M,€29K,Right,2.0,Medium/ Medium,189cm,76.0
412,M. Lemina,28,Gabon,75,OGC Nice,€5.5M,€38K,Right,2.0,Medium/ Medium,184cm,85.0
413,A. Král,24,Czech Republic,75,FC Schalke 04,€8M,€18K,Right,1.0,High/ Medium,186cm,76.0
414,D. Raum,24,Germany,81,RB Leipzig,€34.5M,€49K,Left,1.0,High/ Medium,180cm,75.0
415,D. de Wit,24,Netherlands,74,AZ Alkmaar,€6M,€9K,Right,1.0,High/ High,183cm,76.0
416,Oyarzabal,25,Spain,84,Real Sociedad,€53M,€57K,Left,2.0,High/ Medium,181cm,79.0
417,A. Haidara,24,Mali,78,RB Leipzig,€20M,€43K,Right,2.0,High/ Medium,175cm,72.0
418,U. Račić,24,Serbia,75,Valencia CF,€8.5M,€26K,Right,1.0,Medium/ Medium,193cm,81.0
419,S. Schwab,31,Austria,74,PAOK,€3.5M,€1K,Left,1.0,High/ High,183cm,77.0
420,S. Özcan,24,Turkey,79,Borussia Dortmund,€23M,€38K,Right,1.0,Medium/ High,180cm,76.0
421,22 G. Sigurðsson,31,Iceland,79,Everton,€14.5M,€83K,Right,3.0,Medium/ Medium,186cm,77.0
422,Iñaki Williams,28,Spain,81,Athletic Club de Bilbao,€26.5M,€40K,Right,2.0,High/ Medium,186cm,80.0
423,J. Schlupp,29,Ghana,76,Crystal Palace,€7.5M,€51K,Left,1.0,Medium/ Medium,178cm,72.0
424,21 W. Rooney,34,England,76,Derby County,€3.5M,€29K,Right,4.0,Medium/ Medium,176cm,83.0
425,N. Amrabat,35,Morocco,75,AEK Athens,€2.3M,€1K,Right,2.0,Medium/ Medium,179cm,77.0
426,Unai Vencedor,21,Spain,77,Athletic Club de Bilbao,€21.5M,€20K,Right,1.0,Medium/ Medium,176cm,71.0
427,Sergi Roberto,30,Spain,80,FC Barcelona,€18M,€125K,Right,3.0,Medium/ Medium,178cm,68.0
428,Juan Bernat,29,Spain,78,Paris Saint-Germain,€12.5M,€68K,Left,2.0,High/ Medium,170cm,67.0
429,A. Bah,24,Denmark,78,SL Benfica,€18.5M,€12K,Right,1.0,High/ High,183cm,76.0
430,20 Rômulo,32,Italy,75,Brescia,€5M,€17K,Right,1.0,High/ High,178cm,72.0
431,D. Alli,26,England,77,Everton,€14M,€40K,Right,3.0,Medium/ Medium,188cm,80.0
432,Ismaily,32,Brazil,79,LOSC Lille,€12M,€35K,Left,2.0,High/ Medium,177cm,82.0
433,D. Zakaria,25,Switzerland,81,Juventus,€34.5M,€95K,Right,2.0,High/ High,191cm,81.0
434,Thiago Mendes,30,Brazil,76,Olympique Lyonnais,€6.5M,€48K,Right,2.0,Medium/ Medium,177cm,75.0
435,A. Ayew,32,Ghana,75,,€0,€0,Left,3.0,High/ Medium,176cm,72.0
436,22 E. Pulgar,27,Chile,75,Galatasaray SK,€6M,€40K,Right,1.0,Medium/ High,187cm,74.0
437,F. Midtsjø,28,Norway,77,Galatasaray SK,€10.5M,€62K,Right,2.0,Medium/ High,175cm,68.0
438,J. Juranović,26,Croatia,75,Celtic,€7M,€42K,Right,1.0,High/ High,173cm,68.0
439,A. Sánchez,33,Chile,79,Olympique de Marseille,€11M,€48K,Right,4.0,Medium/ Medium,168cm,62.0
440,C. Gallagher,22,England,79,Chelsea,€35.5M,€89K,Right,1.0,High/ High,182cm,77.0
441,T. Ndombele,25,France,79,Tottenham Hotspur,€23M,€85K,Right,1.0,Low/ Low,179cm,76.0
442,I. Ilić,21,Serbia,76,Hellas Verona,€17M,€20K,Left,1.0,High/ Medium,187cm,75.0
443,Ó. Romero,29,Paraguay,76,Boca Juniors,€7.5M,€18K,Left,1.0,High/ Medium,176cm,74.0
444,J. Roussillon,29,France,76,VfL Wolfsburg,€6.5M,€38K,Left,2.0,High/ Medium,175cm,80.0
445,M. Shaparenko,23,Ukraine,77,Dynamo Kyiv,€23.5M,€1K,Right,1.0,Medium/ Medium,178cm,72.0
446,Isco,30,Spain,82,Sevilla FC,€29.5M,€39K,Right,3.0,Medium/ Medium,176cm,79.0
447,Roberto Torres,33,Spain,76,CA Osasuna,€4.7M,€26K,Right,1.0,Medium/ Medium,178cm,72.0
448,F. Acheampong,28,Ghana,76,Shenzhen FC,€7.5M,€15K,Left,1.0,High/ Low,170cm,60.0
449,S. Sturaro,29,Italy,72,Genoa,€2.3M,€5K,Right,2.0,High/ High,181cm,80.0
450,A. Lacazette,31,France,81,Olympique Lyonnais,€22M,€81K,Right,3.0,High/ High,175cm,73.0
451,20 J. Mathieu,35,France,81,Sporting CP,€5.5M,€13K,Left,3.0,High/ Medium,189cm,84.0
452,İ. Kahveci,26,Turkey,77,Fenerbahçe SK,€12.5M,€60K,Left,1.0,Medium/ Medium,176cm,72.0
453,D. Toköz,26,Turkey,75,Trabzonspor,€7.5M,€32K,Right,1.0,Medium/ High,180cm,75.0
454,L. Díaz,25,Colombia,84,Liverpool,€56M,€155K,Right,1.0,High/ Medium,180cm,73.0
455,21 Fábio Coentrão,32,Portugal,75,Rio Ave FC,€3.9M,€10K,Left,3.0,High/ High,179cm,66.0
456,João Mário,29,Portugal,79,SL Benfica,€17M,€18K,Right,3.0,Medium/ Low,179cm,73.0
457,22 J. Vigón,29,Mexico,75,Tigres U.A.N.L.,€5.5M,€42K,Right,1.0,High/ Medium,168cm,67.0
458,K. Kampl,31,Slovenia,80,RB Leipzig,€17.5M,€58K,Right,2.0,High/ High,178cm,66.0
459,A. Plea,29,France,78,Borussia Mönchengladbach,€14M,€35K,Right,2.0,High/ Medium,181cm,79.0
460,D. Frattesi,22,Italy,77,U.S. Sassuolo Calcio,€23.5M,€29K,Right,1.0,Medium/ Medium,184cm,74.0
461,18 J. Zúñiga,31,Colombia,73,Atlético Nacional,€2.6M,€6K,Right,2.0,High/ Medium,172cm,72.0
462,M. Cash,24,Poland,79,Aston Villa,€24.5M,€65K,Right,2.0,High/ Medium,179cm,74.0
463,22 M. Hinteregger,28,Austria,79,,€0,€0,Left,2.0,Medium/ Medium,186cm,82.0
464,22 D. Sidibé,28,France,77,AS Monaco,€9.5M,€45K,Right,2.0,Medium/ Medium,182cm,71.0
465,Miguel Crespo,25,Portugal,74,Fenerbahçe SK,€6M,€47K,Right,1.0,High/ High,183cm,78.0
466,J. Lingard,29,England,78,Nottingham Forest,€14M,€65K,Right,2.0,High/ Medium,175cm,60.0
467,P. Frankowski,27,Poland,76,Racing Club de Lens,€8M,€28K,Right,1.0,High/ Medium,175cm,70.0
468,17 J. Barton,33,England,75,Burnley,€2.5M,€40K,Right,2.0,Medium/ High,180cm,70.0
469,G. Montiel,25,Argentina,79,Sevilla FC,€20M,€28K,Right,1.0,High/ Medium,175cm,70.0
470,Y. Belhanda,32,Morocco,73,Adana Demirspor,€2.4M,€18K,Right,2.0,Medium/ Low,179cm,75.0
471,L. Miranda,28,Argentina,75,Racing Club,€5.5M,€19K,Right,1.0,Medium/ High,173cm,70.0
472,J. Ito,29,Japan,78,Stade de Reims,€14M,€30K,Right,1.0,High/ Medium,177cm,68.0
473,E. Hazard,31,Belgium,84,Real Madrid CF,€35M,€220K,Right,4.0,Medium/ Medium,175cm,74.0
474,Fernando,34,Brazil,83,Sevilla FC,€12.5M,€39K,Right,2.0,Medium/ Medium,183cm,76.0
475,A. Palavecino,25,Argentina,75,River Plate,€6.5M,€16K,Right,1.0,Medium/ Low,179cm,74.0
476,Marc Bartra,31,Spain,81,Real Betis Balompié,€17.5M,€30K,Right,3.0,High/ Medium,184cm,73.0
477,H. Hateboer,28,Netherlands,80,Atalanta,€19M,€53K,Right,3.0,High/ Medium,185cm,72.0
478,S. Zuber,30,Switzerland,75,AEK Athens,€5.5M,€1K,Right,2.0,High/ Medium,182cm,74.0
479,A. Fulgini,25,France,77,1. FSV Mainz 05,€14M,€27K,Right,2.0,High/ Medium,183cm,71.0
480,M. Suárez,34,Argentina,77,River Plate,€5M,€20K,Right,2.0,Medium/ Medium,183cm,75.0
481,S. Sensi,26,Italy,78,AC Monza,€16.5M,€59K,Right,1.0,Medium/ Medium,168cm,62.0
